SITE_NAME,AVG_DAILY_CONSUMPTION
0115KO,5.802%
0116BB,137.769%
0116BR,30.181%
0117BB,40.694%
0117BR,8.228%
0118BB,2.361%
0118BR,4.257%
0118KO,4.570%
0119BB,24.572%
0119BR,1.683%
0120BB,11.576%
0120BR,19.487%
0120KO,17.185%
0121BR,47.589%
0122BB,19.985%
0122BR,7.640%
0123BB,12.357%
0123BR,18.547%
0124BB,105.755%
0124BR,10.402%
0125BB,20.583%
0125BR,1.110%
0125KO,7.407%
0126BB,6.953%
0126BR,2.975%
0126KO,11.266%
0127BB,1.604%
0127BR,30.997%
0128BB,69.507%
0128BR,2.903%
0128KO,46.331%
0129BB,14.225%
0129BR,5.290%
0129KO,11.064%
0130BB,99.338%
0130BR,7.972%
0130KO,8.515%
0131BB,8.941%
0131BR,12.006%
0131KO,6.526%
0132BR,1.080%
0132KO,10.767%
0133BB,5.832%
0133BR,2.918%
0133KO,9.898%
0134BB,5.116%
0134BR,0.683%
0134KO,5.769%
0135BB,6.927%
0135KO,1.533%
0136BB,12.191%
0136BR,6.680%
0136KO,2.570%
0137BB,2.929%
0137BR,1.386%
0137KO,3.167%
0138BB,1.903%
0138BR,6.587%
0138KO,0.692%
0139BB,14.396%
0139BR,8.493%
0139KO,9.491%
0140BB,12.831%
0140BR,25.319%
0140KO,13.820%
0141BB,14.803%
0141BR,3.186%
0141KO,3.332%
0142BB,0.085%
0142BR,5.153%
0143BB,86.290%
0143BR,1.145%
0143KO,3.688%
0144BB,5.434%
0144BR,2.976%
0144KO,3.385%
0145BB,25.394%
0145BR,20.620%
0146BB,4.508%
0146BR,4.922%
0146KO,3.303%
0147BB,141.421%
0147BR,11.642%
0147KO,4.333%
0148BB,0.044%
0148BR,9.783%
0149BB,9.401%
0149BR,18.397%
0150BB,5.431%
0150BR,3.748%
0150KO,5.341%
0151BB,25.866%
0151BR,39.177%
0151KO,4.067%
0152BB,4.285%
0152BR,8.161%
0152KO,10.504%
0153BB,4.304%
0153BR,24.603%
0153KO,11.140%
0154BB,2.955%
0154BR,16.199%
0154KO,10.389%
0155BB,7.134%
0155BR,6.018%
0155KO,4.250%
0156BB,20.421%
0156BR,16.803%
0156KO,18.569%
0157BB,2.195%
0157BR,2.271%
